Time (s), Voltage (V)
9.402444,-0.012219
9.412448,-0.012219
9.422452,-0.017107
9.432453,-0.012219
9.442457,-0.012219
9.452461,-0.007331
9.462465,-0.012219
9.472469,-0.012219
9.482473,-0.017107
9.492477,-0.012219
9.502476,-0.017107
9.512476,-0.017107
9.522477,-0.017107
9.532477,-0.012219
9.542476,-0.017107
9.552484,-0.007331
9.562488,-0.017107
9.572492,-0.017107
9.582496,-0.017107
9.592496,-0.021994
9.602497,-0.007331
9.612497,-0.017107
9.622501,-0.026882
9.632505,-0.017107
9.642504,-0.021994
9.652504,-0.026882
9.662512,-0.021994
9.672516,-0.026882
9.68252,-0.026882
9.692521,-0.021994
9.702521,-0.021994
9.71252,-0.021994
9.72252,-0.021994
9.732521,-0.026882
9.742521,-0.021994
9.752525,-0.021994
9.762529,-0.026882
9.772528,-0.026882
9.782532,-0.017107
9.792532,-0.026882
9.802536,-0.012219
9.812537,-0.017107
9.822537,-0.021994
9.832536,-0.017107
9.84254,-0.017107
9.85254,-0.021994
9.862541,-0.007331
9.872541,-0.026882
9.88254,-0.017107
9.89254,-0.017107
9.902541,-0.012219
9.912541,-0.017107
9.92254,-0.012219
9.932544,-0.017107
9.942548,-0.012219
9.952548,-0.012219
9.962549,-0.021994
9.972553,-0.017107
9.982557,-0.012219
9.992561,-0.012219
10.00256,-0.012219
10.012564,-0.021994
10.022564,-0.021994
10.032565,-0.007331
10.042565,-0.017107
10.052564,-0.012219
10.062564,-0.012219
10.072565,-0.021994
10.082565,-0.017107
10.092573,-0.017107
10.102573,-0.017107
10.112572,-0.017107
10.122572,-0.017107
10.132573,-0.017107
10.142573,-0.017107
10.152572,-0.017107
10.162572,-0.017107
10.172573,-0.007331
10.182577,-0.012219
10.192581,-0.012219
10.202581,-0.017107
10.212584,-0.021994
10.222584,-0.021994
10.232592,-0.017107
10.242592,-0.012219
10.252596,-0.017107
10.2626,-0.031769
10.272604,-0.041544
10.282608,-0.041544
10.292609,-0.041544
10.302613,-0.056207
10.312617,-0.041544
10.322616,-0.046432
10.332616,-0.036657
10.34262,-0.031769
10.352621,-0.026882
10.362621,-0.026882
10.372629,-0.026882
10.382629,-0.021994
10.392632,-0.021994
10.402632,-0.021994
10.412636,-0.021994
10.422636,-0.017107
10.432637,-0.017107
10.442645,-0.017107
10.452649,-0.012219
10.46266,-0.021994
10.472661,-0.021994
10.482665,-0.017107
10.492665,-0.017107
10.502664,-0.012219
10.512664,-0.021994
10.522665,-0.021994
