Time (s), Voltage (V)
5.261368,0.012219
5.271368,0.026882
5.281368,0.095308
5.291372,-0.056207
5.301372,0.119746
5.311376,0.041544
5.321376,0.05132
5.331376,0.061095
5.34138,0.021994
5.35138,0.075758
5.36138,0.05132
5.37138,0.153959
5.381384,0.075758
5.391384,0.002444
5.401384,0.085533
5.411388,0.056207
5.421388,0.061095
5.431392,-0.002444
5.4414,-0.031769
5.451408,0.124633
5.461412,0.012219
5.471412,0.056207
5.48142,0.05132
5.491424,0.017107
5.501428,0.19306
5.511432,0.021994
5.521432,0.095308
5.531432,0.046432
5.541432,0.061095
5.551432,0.05132
5.561436,-0.002444
5.571436,0.021994
5.58144,-0.061095
5.59144,-0.065982
5.601444,-0.007331
5.611444,-0.002444
5.621444,0.085533
5.631444,-0.056207
5.641444,-0.021994
5.651448,0.109971
5.661456,-0.075758
5.67146,0.07087
5.68146,0.007331
5.691464,-0.056207
5.701464,0.085533
5.711468,0.07087
5.721472,0.007331
5.731472,0.021994
5.741472,-0.031769
5.751472,0.129521
5.761472,0.065982
5.77148,0.041544
5.78148,0.021994
5.79148,-0.085533
5.801484,0.065982
5.811488,0.007331
5.821492,0.017107
5.831496,-0.041544
5.8415,0.017107
5.851504,0.056207
5.861504,-0.002444
5.871504,0.085533
5.881508,-0.100195
5.891512,0.046432
5.901512,-0.061095
5.911512,0.095308
5.921512,0.080645
5.931516,-0.002444
5.94152,-0.036657
5.951524,0.007331
5.961524,0.09042
5.971528,-0.017107
5.981532,-0.031769
5.991536,0.046432
6.001536,0.012219
6.011536,0.026882
6.021536,0.061095
6.031536,0.095308
6.04154,0.075758
6.051544,0.202835
6.061544,0.017107
6.071548,0.114858
6.081552,0.183285
6.091556,0.153959
6.10156,0.168622
6.11156,0.031769
6.121564,0.124633
6.131564,0.07087
6.141568,0.109971
6.151572,0.109971
6.161572,0.026882
6.171576,0.09042
6.18158,0.031769
6.19158,0.021994
6.201588,0.095308
6.211588,0.056207
6.221592,0.139296
6.231592,0.124633
6.241592,0.080645
6.251592,0.124633
6.261596,0.007331
6.2716,0.114858
6.281608,0.007331
6.291612,-0.002444
6.301616,0.05132
6.31162,0.036657
6.321624,0.056207
6.331628,-0.056207
6.341628,-0.085533
6.351632,0.095308
6.361636,0.017107
6.371636,-0.095308
6.381636,0.002444
6.39164,-0.002444
6.40164,0.134409
6.411644,-0.007331
6.421648,-0.002444
6.431652,0.017107
6.441656,0.080645
6.45166,-0.056207
6.461664,-0.046432
6.471664,-0.251711
6.481664,-0.500977
6.491664,-0.491202
6.501664,-0.623167
6.511668,-0.422776
6.521668,-0.500977
6.531672,-0.525415
6.541676,-0.413001
6.551676,-0.3739
6.56168,-0.163734
6.57168,-0.222385
6.58168,-0.119746
6.59168,-0.158847
6.60168,-0.109971
6.61168,-0.100195
6.621684,-0.095308
6.631684,0.041544
6.641688,-0.124633
6.651692,-0.002444
6.661696,-0.046432
6.671696,-0.109971
6.681696,-0.061095
6.691696,-0.09042
6.701708,0.002444
6.711708,0.017107
6.721708,-0.065982
6.731712,-0.041544
6.741712,-0.075758
6.75172,-0.085533
6.761724,-0.031769
6.771728,-0.124633
6.781732,-0.124633
6.791736,-0.061095
